time,ACTON275,BOL5,Densidad2_,ECE7,GR,GR2,HALFAC3,IACCEL1,RX306
1007.881,-0.04884005,-0.1025641,-0.0036613811,-0.034188036,-0.021978023,-0.046398047,-0.043956045,2.1929183,-0.0048840051
1007.901,-0.073260076,-0.10989011,-0.0034056229,-0.034188036,-0.021978023,-0.046398047,-0.031746034,2.1880343,0.0
1007.9109,-0.0073260074,-0.10500611,0.00086150144,-0.034188036,-0.024420025,-0.051282052,-0.034188036,2.1855922,0.0048840051
1008.071,-0.061050061,-0.1025641,-0.0010768768,-0.036630038,-0.021978023,-0.056166057,-0.031746034,2.1807082,-0.0048840051
1008.361,-0.053724054,-0.1001221,0.0020191439,-0.036630038,-0.021978023,-0.053724054,-0.0097680101,2.1831503,0.0
1008.381,-0.065934069,-0.1001221,-0.00017499247,-0.036630038,-0.021978023,-0.04884005,-0.034188036,2.1807082,0.029304029
1008.391,-0.058608059,-0.1025641,8.0765756e-05,-0.034188036,-0.021978023,-0.046398047,-0.034188036,2.1855922,0.0
1008.531,-0.053724054,-0.1025641,0.00033652398,-0.036630038,-0.021978023,-0.051282052,-0.03907204,2.1782663,0.029304029
1008.561,-0.056166057,-0.1025641,8.0765756e-05,-0.034188036,-0.024420025,-0.051282052,-0.036630038,2.1807082,0.0
1008.691,-0.058608059,-0.1025641,0.00047113359,-0.034188036,-0.024420025,-0.056166057,-0.036630038,2.1758242,-0.0097680101
1008.701,-0.056166057,-0.10989011,0.0011172596,-0.034188036,-0.024420025,-0.053724054,-0.036630038,2.1807082,-0.014652015
1008.7209,-0.056166057,-0.10500611,0.0018845344,-0.034188036,-0.021978023,-0.056166057,-0.036630038,2.1758242,0.0048840051
1008.761,-0.056166057,-0.1025641,8.0765756e-05,-0.036630038,-0.021978023,-0.051282052,-0.036630038,2.1807082,0.01953602
1008.771,-0.053724054,-0.1025641,0.00086150144,-0.036630038,-0.024420025,-0.056166057,-0.034188036,2.1782663,0.0097680101
1008.781,-0.056166057,-0.1001221,-0.00030960207,-0.034188036,-0.024420025,-0.053724054,-0.036630038,2.1807082,0.014652015
1008.881,-0.056166057,-0.1025641,-0.0034056229,-0.034188036,-0.024420025,-0.053724054,-0.03907204,2.1733823,0.01953602
1008.921,-0.061050061,-0.1025641,-0.00030960207,-0.034188036,-0.021978023,-0.051282052,0.021978023,2.1733823,0.0097680101
1009.031,-0.061050061,-0.1001221,-0.00017499247,-0.034188036,-0.021978023,-0.053724054,-0.034188036,2.1684983,0.0097680101
1009.0909,-0.056166057,-0.1001221,-0.00017499247,-0.036630038,-0.021978023,-0.046398047,-0.034188036,2.1709402,0.0097680101
1009.111,-0.058608059,-0.1025641,0.00086150144,-0.034188036,-0.024420025,-0.056166057,-0.031746034,2.1709402,0.0
1009.291,-0.056166057,-0.1025641,0.0037017639,-0.036630038,-0.021978023,-0.04884005,-0.036630038,2.1709402,0.0
1009.381,-0.056166057,-0.1025641,0.0030556379,-0.036630038,-0.021978023,-0.053724054,-0.036630038,2.1660562,-0.0048840051
1009.4109,-0.056166057,-0.1001221,0.0018845344,-0.034188036,-0.021978023,-0.053724054,-0.031746034,2.1684983,-0.0097680101
1009.481,-0.058608059,-0.1025641,0.0015076275,-0.034188036,-0.021978023,-0.04884005,-0.036630038,2.1636143,-0.0097680101
1009.541,-0.063492067,-0.1025641,0.00098265009,-0.034188036,-0.021978023,-0.051282052,-0.029304029,2.1636143,0.0048840051
1009.601,-0.058608059,-0.1001221,-0.00043075072,-0.036630038,-0.021978023,-0.056166057,-0.029304029,2.1636143,0.014652015
1009.681,-0.058608059,-0.1025641,0.0027998795,-0.036630038,-0.021978023,-0.053724054,-0.034188036,2.1684983,0.0048840051
1009.751,-0.11233211,-0.1025641,0.0021537535,-0.034188036,-0.021978023,-0.056166057,-0.034188036,2.1587303,0.0097680101
1009.771,-0.031746034,-0.1025641,0.0029210283,-0.034188036,-0.021978023,-0.063492067,-0.031746034,2.1611722,0.0
1009.781,-0.056166057,-0.1025641,0.0011172596,-0.034188036,-0.024420025,-0.053724054,-0.043956045,2.1660562,-0.0097680101
1009.801,-0.068376072,-0.1025641,0.0017633857,-0.036630038,-0.021978023,-0.051282052,0.0048840051,2.1684983,-0.0097680101
1009.8409,-0.053724054,-0.1025641,0.0066631753,-0.034188036,-0.024420025,-0.058608059,-0.036630038,2.1684983,-0.024420025
1009.921,-0.03907204,-0.1025641,0.0013730179,-0.036630038,-0.021978023,-0.053724054,-0.034188036,2.1587303,-0.0048840051
1009.981,-0.053724054,-0.092796095,0.0022749023,-0.036630038,-0.021978023,-0.04884005,-0.034188036,2.1660562,-0.0097680101
1010.2209,-0.053724054,-0.1025641,0.0017633857,-0.034188036,-0.024420025,-0.056166057,-0.026862027,2.1660562,-0.0097680101
1010.311,-0.058608059,-0.1025641,0.00098265009,-0.036630038,-0.024420025,-0.056166057,-0.024420025,2.1611722,-0.014652015
1010.371,-0.056166057,-0.1025641,-0.00017499247,-0.034188036,-0.021978023,-0.058608059,-0.031746034,2.1611722,0.0
1010.401,-0.056166057,-0.1025641,-0.0023691289,-0.034188036,-0.021978023,-0.056166057,-0.034188036,2.1636143,0.0048840051
1010.521,-0.058608059,-0.1025641,-0.00017499247,-0.034188036,-0.021978023,-0.053724054,-0.034188036,2.1636143,-0.0048840051
1010.551,-0.056166057,-0.1025641,-0.0014672446,-0.034188036,-0.024420025,-0.061050061,-0.04884005,2.1709402,0.0
1010.681,-0.073260076,-0.1025641,0.0029210283,-0.034188036,-0.021978023,-0.061050061,-0.031746034,2.1660562,0.0048840051
